 21 -407770.7725  89986.3702  90735.5049  90731.8241  89660.1024  88867.1876  126095.5453  88534.4510  121004.4192  88497.7984  85937.3411  99563.3027  92684.6051  -252067.2859  89854.0220 
 21 -407959.0907  89630.6133  90373.8208  90367.0582  89297.3326  88488.7550  125838.1597  88264.1664  120463.9696  88177.5631  85575.1454  99003.5586  92740.7274  -252966.8562  89508.2157 
 21 -407883.9239  89693.7288  90443.9393  90441.9677  89395.0644  88476.1396  125416.8063  88275.1986  120341.8601  88198.8147  85705.4916  99003.8281  92633.0291  -251936.9981  89555.7159 
 21 -407661.6633  89269.8426  90013.7915  90018.4730  88960.6749  88031.0328  124972.0428  87900.9338  119954.8908  87751.9283  85305.4924  98541.1560  91580.7138  -250729.6411  89147.6191 
 21 -407502.3503  89820.3285  90563.6237  90569.5650  89493.9466  88620.2887  124875.2603  88390.2981  120112.6093  88297.8035  85964.9139  98807.1710  92350.6093  -249748.0654  89685.9156 
 21 -407592.7773  89604.2396  90352.4319  90343.5793  89279.7009  88473.5139  124928.3955  88139.5963  120090.2197  88100.0113  85725.7353  98170.8217  92003.9088  -249468.9757  89483.0023 
 21 -408037.8564  89330.1111  90080.5541  90076.2943  89016.8386  88125.2580  124491.6093  87896.7074  119843.1284  87826.0100  85382.9507  98528.2661  91634.2764  -250325.4072  89198.3853 
 21 -407748.0060  89770.3857  90520.8984  90519.5590  89441.0348  88499.6351  124766.9617  88354.5572  120163.2667  88251.1143  85833.7757  98218.0135  92045.3164  -251354.7036  89635.0465 
 21 -407878.2214  89021.8177  89773.9582  89764.8280  88687.1893  87806.2223  124122.7771  87560.7802  119372.9660  87510.2606  85109.8639  96524.5870  91099.0132  -251571.2072  88895.1096 
 21 -408180.7959  89520.6756  90263.7500  90257.2578  89209.4714  88201.1191  124894.4740  88196.1866  119968.2650  88039.2365  85577.9235  96335.9443  91558.0451  -251100.6723  89397.4940 
 21 -407962.8686  89076.0443  89823.2102  89822.4415  88761.1657  87780.1108  124297.5337  87743.5413  119800.1442  87636.9071  85068.7047  95893.7509  91664.3684  -251369.1404  88956.1574 
 21 -407845.2303  88863.5386  89609.6175  89602.0429  88546.3088  87459.6198  123947.1690  87545.1045  119004.3192  87352.6152  84957.1650  95316.5187  91427.9731  -251242.5364  88738.7654 
 21 -407343.4945  90141.8217  90891.4553  90887.5439  89820.2602  88928.7606  125325.0005  88744.0004  120370.1844  88618.3070  86210.1064  96203.2330  92602.0683  -251519.5657  90020.6950 
 21 -407506.0905  89840.2021  90588.9941  90590.3058  89523.7847  88543.4467  125086.4700  88470.7513  120109.1235  88378.8785  86096.4670  95630.3748  92819.2123  -250137.6740  89725.2977 
 21 -408121.9468  89368.9660  90118.7424  90117.4928  89052.3734  88059.3474  124399.5648  88032.7184  119824.9611  87802.3110  85561.3497  96176.4025  92288.5992  -251704.6125  89233.4800 
 21 -407612.8799  89744.1469  90486.8796  90495.2060  89421.9239  88340.8057  125069.2744  88430.3131  120639.7272  88259.4670  85788.6045  96607.9883  92899.8524  -251029.8353  89613.8544 
 21 -407613.4006  89413.3033  90157.4744  90157.6248  89088.9308  88062.6211  124467.6907  88015.3416  119877.4204  87896.1322  85465.7146  97088.4991  92563.4779  -251323.3294  89281.7328 
 21 -407762.7704  89510.2969  90262.1335  90252.7879  89189.5888  88119.0747  125011.4352  87941.1511  120044.9266  87927.3057  85699.6305  97105.4091  92712.1282  -251128.4135  89378.9932 
 21 -408010.0753  89276.6801  90023.0974  90030.8659  88965.8827  87911.1107  123970.2563  87833.1368  119350.1046  87750.8064  85416.4037  96273.1988  91773.5189  -251541.6028  89159.2542 
 21 -407809.8356  90102.9510  90850.1359  90845.1721  89792.7889  88696.8402  125185.2796  88620.4653  120285.3934  88568.4485  86209.3589  97019.6202  92521.2006  -251599.5749  89982.1140 
 21 -407690.9522  89927.0981  90674.4803  90678.9203  89606.1979  88539.2387  125702.2203  88421.3411  120657.9658  88392.9927  86114.1134  96245.5263  92444.9820  -250666.3694  89804.8754 
 21 -407745.9813  89331.1621  90078.4229  90079.3732  88992.2466  87931.4875  125004.8497  87896.1073  119980.7399  87771.5423  85483.9236  95754.2681  91206.6587  -250657.3144  89212.9383 
 21 -407410.2174  89852.7362  90596.5333  90604.4447  89555.5942  88461.3908  125347.7572  88480.3567  120670.6609  88323.6781  85946.8215  96289.8723  92570.4167  -250937.5195  89726.0348 
 21 -408258.6712  89690.4356  90441.3496  90437.8461  89387.2168  88216.5478  125002.5143  88236.0726  120153.8112  88213.5640  85920.4604  96492.9424  92714.2697  -252731.2563  89561.7203 
 21 -407010.1702  89628.4047  90380.2296  90372.2759  89329.3970  88206.8385  124673.8389  88248.2198  119664.3328  88132.2239  85734.6752  96885.0507  92292.3276  -250468.4047  89506.8995 
 21 -407592.0869  89776.5206  90525.2728  90521.0836  89476.6056  88230.9701  124856.5005  88423.8668  119956.8618  88229.7917  85852.2093  97858.7181  91908.9242  -251771.3463  89648.1151 
 21 -408141.1576  89682.9050  90430.6558  90431.1297  89376.0709  88111.3728  124885.9291  88321.5988  120275.7676  88129.5250  85891.4436  96776.0300  91883.5186  -252716.5939  89557.6642 
 21 -407807.4089  90056.8872  90804.3515  90800.2753  89763.6681  88561.7587  125346.2569  88602.6519  120614.7265  88488.6875  86190.4671  96586.5774  92173.8735  -251935.3721  89923.8870 
 21 -408143.6937  89190.2398  89942.4528  89937.9985  88855.3795  87588.4312  124749.3657  87759.4926  119886.2718  87623.2440  85317.5415  95963.9810  91481.5341  -251914.7217  89048.5164 
 21 -407933.8953  89612.9955  90360.3787  90357.6512  89275.1862  88038.6992  125027.1103  88173.4750  120286.7314  88064.7760  85775.3694  96960.9563  91884.9038  -251968.8364  89483.5652 
 21 -407897.6716  90135.1792  90878.5574  90877.1786  89800.2896  88622.3579  126006.3350  88673.4902  120794.6566  88592.7335  86411.1787  97196.5260  92607.8485  -251507.2027  90000.7694 
 21 -407794.8728  89684.7233  90429.1353  90432.5389  89357.4034  88123.1157  125498.1800  88145.5501  120655.9645  88109.2448  85848.6334  96962.1880  92682.8702  -251035.4672  89562.2543 
 21 -407756.8503  89211.8776  89957.3932  89961.5084  88906.6328  87695.6580  124147.0697  87804.7787  119576.2693  87710.9275  85638.3929  96719.3983  91581.3985  -251000.4674  89076.3098 
 21 -408132.5890  89697.5615  90446.9746  90444.7630  89381.5066  88188.4246  125076.7226  88301.7231  120526.2618  88178.1500  85778.3686  96750.9547  92170.9538  -251064.5300  89577.6462 
 21 -408130.5822  90038.5126  90790.9858  90783.1893  89712.4843  88463.0190  126244.2851  88682.1820  120929.1388  88547.7841  86319.1680  98048.9684  92629.5938  -252450.9599  89906.5381 
 21 -407638.9092  89333.3228  90077.3263  90086.8432  88999.1486  87803.2470  126110.5074  87980.9934  120530.9774  87901.9204  85495.4663  96523.6379  91591.3885  -252426.3039  89202.3731 
 21 -407704.1372  90076.1481  90823.4710  90823.5079  89745.3720  88587.4122  126472.4814  88746.5094  121221.4373  88600.4452  86228.6415  97288.8777  92727.0029  -252306.4352  89950.8787 
 21 -407298.8609  89831.8567  90584.5343  90570.2939  89524.2680  88392.7925  126353.6838  88457.9087  120831.6503  88345.2723  86095.8837  96363.2771  92811.8587  -251885.2686  89706.1619 
 21 -408135.4308  90242.3640  90981.6992  90982.6537  89899.5440  88908.7194  125993.6407  88876.2975  121023.1374  88729.8066  86482.2676  96972.2795  92990.5578  -251339.2325  90109.0630 
