 21 -397662.4318  88344.4761  89096.5529  89097.2567  88002.5288  79606.6739  91515.6602  79941.4724  90590.0545  86785.5839  84176.6588  88389.7733  90094.8479  -270875.1089  88224.1848 
 21 -397719.9184  87902.6390  88654.1731  88646.0144  87554.9074  79134.8134  91074.1743  79381.0971  90156.2034  86357.8522  83751.7258  87910.8459  89503.0862  -271439.3853  87777.4781 
 21 -398259.2060  87249.2794  88000.0006  88007.4828  86897.4313  78713.3934  90328.2445  79002.2117  89527.4101  85716.3929  83048.6267  87375.9942  88412.8568  -271885.6776  87131.0436 
 21 -398068.8649  88316.8143  89063.9389  89066.4875  87985.2118  79725.0544  91418.6696  79802.2395  90614.1556  86725.2397  84186.6151  88316.6684  89633.6442  -271093.4801  88195.0768 
 21 -397643.3020  88102.3301  88850.7857  88844.1549  87753.1992  79340.3525  91211.7072  79728.7086  90390.6778  86604.3698  83953.7042  88273.0322  89967.7194  -270753.4957  87983.7830 
 21 -398248.8080  88909.4829  89663.1123  89661.1703  88566.0142  80137.7868  92041.5658  79982.1427  91134.5200  87324.3736  84794.2283  88814.6726  90524.4156  -271692.6474  88785.2415 
 21 -398074.9508  88604.8010  89356.1495  89354.3048  88266.4106  79910.0841  91806.7379  79926.3796  90876.9584  87037.7369  84521.6745  88783.0050  90470.3096  -271293.7264  88482.4416 
 21 -397861.9997  88402.4918  89153.0303  89154.3064  88070.0355  79642.8344  91576.1984  79924.9255  90764.9363  86848.3349  84233.6141  88788.7668  90008.0079  -270374.9192  88276.7897 
 21 -398126.5063  87520.0327  88271.5705  88273.4771  87189.1401  78925.4421  90716.0136  78902.3464  89847.2993  85884.7894  83391.1419  87704.2185  88934.7754  -270329.8324  87408.4345 
 21 -398431.3337  88005.0993  88755.6835  88743.2509  87687.5986  79167.3408  91165.2256  79246.9841  90333.4404  86456.1679  84077.0640  88307.3451  89526.4950  -271109.2449  87891.3188 
 21 -398067.8505  88118.2199  88869.4322  88861.2332  87798.6624  79142.9711  91377.1173  79399.1765  90407.4438  86635.6292  84039.3522  88610.8207  89814.7934  -270756.0518  87993.7878 
 21 -397620.0998  89200.8482  89946.4093  89946.0913  88865.8737  80286.2459  92458.9948  80456.3241  91547.4690  87628.9408  85096.3510  90098.2999  90909.6695  -270600.9745  89070.1909 
 21 -397946.8817  88020.8301  88773.6333  88772.6672  87698.9525  78860.2502  91207.1729  79124.0107  90298.7198  86496.0095  83957.7107  88683.6604  89867.8273  -271334.2544  87901.7875 
 21 -398219.2194  87833.8881  88583.8087  88586.4184  87497.9344  78587.8210  90989.5384  79008.9153  90111.9780  86337.1762  83683.8819  88359.1858  89324.1909  -271265.4174  87701.7812 
 21 -398544.3192  88141.5056  88889.3512  88894.6902  87803.1630  78978.0129  91345.9761  79569.6515  90409.4258  86609.2223  84009.0417  88930.1162  89643.6504  -271892.8737  88006.4835 
 21 -397836.1863  88393.8501  89142.9344  89150.0444  88049.6711  79414.5426  91592.7086  79559.4188  90662.5712  86877.7695  84417.9095  89031.5802  90177.4137  -270833.0608  88278.3065 
 21 -397131.7916  88383.9509  89129.1459  89128.6168  88042.9552  79325.2657  91538.4626  79835.3347  90737.9970  86856.5590  84247.5684  88939.5326  90043.7714  -270388.2986  88272.9929 
 21 -397871.8342  87992.5902  88736.7183  88742.1976  87658.7549  79222.3095  91058.2496  79379.1658  90278.5398  86562.6090  83891.6952  88441.0114  89531.3476  -270264.2114  87875.2650 
 21 -398020.2235  88044.0471  88795.9926  88793.2802  87709.1386  79103.8188  91163.1567  79593.3685  90376.0755  86550.0074  84085.1386  88290.5255  89661.7315  -270929.8621  87931.5710 
 21 -398005.4611  88046.8117  88802.1199  88798.4369  87700.9625  79074.8611  91197.1909  79330.7895  90419.8107  86687.5113  84037.3178  88421.7561  89440.1396  -271434.5769  87922.7957 
 21 -398242.2793  88161.7852  88908.0649  88909.6086  87824.2054  79573.8231  91363.2868  79724.9326  90542.5661  86633.7537  83956.5371  88390.4793  89482.9074  -271235.5223  88046.1107 
 21 -397802.9627  88519.4801  89265.1864  89262.6235  88180.7052  79772.7553  91687.5127  79963.2656  90861.1623  86986.8569  84356.2444  88652.3815  90060.4781  -271268.6300  88405.9237 
