 21 -459752.3321  96857.8458  97602.2487  97599.0200  96558.7698  87088.6673  100300.4376  88623.7717  100458.8792  94502.0909  90581.9786  97049.0042  99232.5522  -324481.0776  96757.2396 
 21 -459842.4812  95701.4216  96452.9691  96444.9859  95398.2404  86346.5989  99199.4851  87674.3762  99358.4252  93340.6817  89348.8493  95947.8530  98481.6214  -323535.7704  95597.3125 
 21 -460017.7472  95288.0490  96042.0565  96032.8575  94985.7245  86073.0444  98797.6705  87051.6045  99062.5839  93012.2650  88998.0959  95322.4218  98054.3903  -324443.3127  95190.0315 
 21 -460341.3203  96165.8841  96910.3726  96916.3888  95871.1962  87126.2684  99662.1267  88151.4013  99962.6945  93838.7961  89705.8754  96419.9534  98648.2426  -323778.0582  96062.3536 
 21 -459929.8385  96880.0665  97629.2679  97619.8576  96581.3949  87653.2870  100372.1237  89018.3274  100654.9414  94581.8090  90427.4337  97067.4418  99627.8096  -323720.1592  96775.4349 
 21 -460194.1946  95854.4557  96604.7060  96595.3741  95553.0885  86733.2321  99311.0139  87428.8076  99597.2335  93499.6016  89298.7897  96067.7843  98873.5632  -324096.8943  95742.7661 
 21 -459568.3033  95996.5095  96743.2495  96743.4936  95699.1150  86728.2784  99377.1437  87554.4405  99776.5379  93676.4115  89472.7141  96214.8742  99232.3413  -322684.4603  95891.9101 
 21 -460166.3930  96321.5261  97077.3404  97064.6311  96026.4044  87557.6886  99777.1340  88103.9543  100041.9334  93963.2675  89921.9526  96548.7738  99447.7225  -322167.7220  96212.4003 
 21 -460019.8323  96855.6327  97599.4376  97598.7205  96558.7604  87968.4923  100275.5310  88633.9013  100513.8506  94511.6259  90308.6125  97370.6767  100458.6109  -323136.0411  96745.1666 
 21 -460294.8751  95639.2317  96391.5973  96381.5902  95343.1019  86609.6714  99073.9547  87530.3748  99357.9998  93306.2813  89049.9538  95995.2659  98968.7458  -323245.0711  95535.6778 
 21 -460316.4117  96578.1023  97334.7148  97327.9732  96275.1907  87696.7231  99989.6519  88713.1912  100297.3449  94238.5439  90236.0281  96914.0162  100220.0221  -323087.1996  96456.3968 
 21 -460804.7715  95883.4943  96630.8076  96628.0737  95593.3344  86831.7922  99248.2762  87699.6369  99550.6590  93475.5123  89445.0146  96053.2836  99179.0827  -324449.2981  95777.3822 
 21 -459545.5203  95808.1985  96556.8598  96548.9165  95509.1121  86853.3201  99211.2772  87648.6186  99511.3380  93483.2815  89309.7626  95925.4070  99219.6233  -323961.2085  95703.6173 
 21 -459900.2416  96913.6701  97667.3837  97658.4883  96613.8657  87773.2106  100410.3983  88765.3227  100574.7702  94556.4143  90407.9707  96978.8998  100173.7899  -323485.8950  96801.3352 
 21 -460444.9212  95967.4962  96718.3917  96707.9682  95671.1485  86636.7968  99379.4851  88045.5975  99597.6339  93609.8598  89450.2233  96021.0159  99053.4430  -323905.7331  95855.0948 
 21 -460069.8409  96102.5505  96854.5857  96848.3408  95783.8315  87149.2444  99549.3002  88025.2569  99763.5051  93806.0389  89682.2344  96041.2136  98790.0811  -323873.9633  95980.6655 
 21 -460237.9732  96028.9013  96780.2709  96768.3454  95709.2770  87072.5978  99504.0560  87678.6622  99694.0883  93694.0667  89585.5656  96195.4585  98766.2570  -323744.4526  95916.5075 
 21 -460518.1131  96000.1202  96745.2186  96741.1854  95705.1331  86946.8215  99403.2417  87465.9947  99731.6284  93649.3361  89540.0828  95854.8395  98785.7660  -323791.0185  95887.6006 
 21 -460235.0129  95217.3574  95968.5646  95953.1630  94918.2411  86182.3282  98619.8590  86925.6416  98927.0661  92872.3017  88683.8741  95546.5045  97857.3865  -322912.6784  95103.4201 
 21 -460398.3742  96260.3197  97008.7450  97008.0075  95954.1394  87245.9586  99611.8414  88267.0405  99893.1856  93905.1494  89932.0169  96660.6296  98817.6442  -323392.0150  96134.4483 
 21 -459975.0450  96064.6206  96809.6211  96810.9412  95781.2572  86820.5716  99464.5807  87908.9514  99747.6897  93752.4591  89638.1206  96272.0335  98829.9110  -322971.1849  95939.7469 
 21 -459834.5393  95856.7093  96605.5683  96595.5795  95555.7835  86800.8009  99357.7098  87825.8353  99455.2972  93511.9292  89391.0586  96164.8865  98488.8208  -323376.5353  95743.4876 
 21 -459805.4621  95989.6002  96735.3791  96734.4071  95678.9077  86913.9980  99423.1247  87839.3892  99641.5187  93664.4095  89401.9315  96293.9814  98559.6754  -322783.3305  95886.5387 
 21 -460041.3750  95999.8842  96756.0398  96747.6713  95702.2722  87154.7125  99322.3700  87853.4808  99609.1295  93675.7127  89454.1847  95650.5303  98760.9119  -323652.9682  95892.1242 
 21 -460093.3007  96290.5992  97039.2136  97034.9579  95981.0614  87127.5514  99715.4503  88264.2057  99966.3949  93919.8934  89651.8712  96026.5273  99083.3212  -323422.9805  96171.6057 
 21 -460249.6403  95582.7310  96326.2685  96327.8778  95279.3956  86302.3828  98991.0773  87674.4777  99313.0166  93314.0968  89077.4851  95458.6286  98457.3963  -323774.8682  95462.6093 
 21 -460115.0476  95872.3202  96617.8771  96617.7579  95566.4794  86812.2560  99293.3233  88163.6014  99527.7839  93548.6408  89457.2543  95851.8155  98318.2999  -323080.6276  95754.7021 
 21 -460261.3870  96529.3160  97286.3004  97273.5015  96228.3411  87492.4143  99956.9758  88380.1192  100223.2188  94185.9142  90066.4928  96492.8362  98988.8761  -324133.8726  96408.3747 
 21 -459740.8229  95517.2098  96268.1794  96261.9304  95230.4628  86280.0417  98902.0349  87304.6997  99221.6148  93165.1652  89176.5255  95421.5263  97789.1035  -322759.9522  95398.2157 
 21 -460329.2232  96009.9434  96762.1338  96754.8945  95711.4243  86834.3489  99364.1426  87689.6874  99694.2773  93651.5362  89600.2865  95952.3372  98278.6108  -324486.2990  95897.6141 
 21 -460497.1502  95837.9588  96587.9812  96583.7922  95540.1504  86795.9259  99258.2599  87575.8878  99480.7164  93478.3444  89351.3641  95704.7643  98073.5091  -323922.7476  95726.6919 
 21 -460710.6808  95425.6004  96179.6332  96170.3081  95105.4401  86292.3392  98874.6068  87168.2440  99091.9619  93074.5038  88987.4620  95431.7196  98109.1681  -324695.6509  95296.6245 
 21 -459546.3957  95007.8998  95753.5927  95745.3267  94697.9256  86004.9560  98400.3034  86835.7983  98597.8907  92680.2415  88609.9374  94904.0634  98099.8896  -323035.0326  94881.9403 
 21 -460236.9838  95525.6451  96277.9781  96272.4567  95223.9437  86577.5240  98878.3465  87183.3270  99137.9862  93216.8243  89180.8624  95501.8169  98583.8345  -322850.0102  95415.3852 
 21 -459820.0917  95843.6997  96593.5609  96585.2375  95537.1623  86673.8501  99229.2731  87661.9301  99511.4185  93570.3013  89187.5070  95574.7593  99414.5492  -322576.9690  95731.3451 
 21 -459833.2973  96457.8641  97205.5342  97204.8857  96161.4713  87315.5040  99916.8982  88465.4523  100101.5999  94138.5504  89846.1758  96322.9970  99756.6729  -323335.0491  96351.3723 
 21 -460762.5783  95777.0008  96528.8396  96520.9411  95484.2428  86650.4363  99222.5640  87357.7072  99493.1409  93433.1749  89214.7020  95898.0740  98634.9442  -323664.7538  95662.8011 
 21 -460187.0540  96429.1059  97171.2426  97167.0071  96130.0027  87423.5009  99801.2381  88200.6156  100099.0617  94080.2477  89875.3328  96587.7972  99126.9756  -323464.3785  96313.1457 
 21 -460118.3827  96256.5799  97005.9807  97001.4094  95945.4241  87431.7743  99693.6424  87697.6218  100028.5587  93877.2790  89661.0249  96612.7080  98968.6973  -324566.7866  96135.3522 
 21 -460382.7232  95426.0124  96175.9648  96173.9148  95123.3699  86104.9282  98847.2084  86785.9335  99145.0540  93139.9558  88773.7827  95457.8306  98259.7219  -324982.7464  95308.3761 
 21 -460352.9495  95904.5261  96660.5846  96639.6963  95594.7692  86667.3179  99478.5975  87513.4384  99627.6727  93622.7555  89287.2461  95825.4513  98315.7877  -325170.7724  95799.7940 
 21 -460557.8604  96669.9969  97415.9855  97424.9317  96348.8062  87414.0999  100190.7756  87998.2745  100453.6890  94292.5741  90126.5733  96982.9506  99351.4901  -324830.1172  96557.8400 
 21 -460568.6832  95468.0042  96229.6289  96215.3377  95177.7246  86271.9899  99018.6975  87045.1013  99212.8015  93191.6623  88909.2458  95764.0582  98597.9980  -324219.8949  95356.2570 
 21 -460134.3265  95797.9719  96554.2235  96545.7592  95496.6189  86438.9644  99324.1323  87342.7151  99425.2058  93481.8512  89237.8037  96159.7154  99436.4182  -323953.3636  95694.9696 
 21 -460180.4140  96076.3435  96830.0360  96814.9416  95780.3379  86961.3162  99610.6782  87693.0428  99788.1218  93720.3772  89536.4992  96607.5207  99236.9242  -323573.7315  95975.9226 
 21 -460153.8959  95357.7686  96107.9728  96110.3598  95038.8980  86125.5926  98886.0814  87107.1427  99111.3194  93050.3964  88852.7542  95738.7132  98785.3254  -323223.5875  95255.2806 
 21 -459729.3957  96735.2722  97489.6701  97484.0143  96419.3736  87755.6306  100327.7423  88503.3258  100469.6993  94424.0059  90349.3562  97092.2085  99884.9454  -322504.0697  96621.7359 
 21 -459472.0769  96123.7680  96870.7480  96867.0766  95825.6780  86951.2752  99692.6449  87698.2590  99774.7789  93838.4876  89659.4902  96427.0020  99592.3438  -323351.4259  96018.7919 
 21 -460455.2163  96110.0421  96856.4776  96852.8411  95824.3140  87189.9259  99639.6545  87814.2891  99812.9668  93735.1688  89542.1013  96388.3346  99220.3267  -322706.1713  95989.7013 
 21 -459941.8699  95186.3462  95936.5789  95934.5256  94880.7970  86091.2245  98768.8633  86601.1371  98848.7621  92883.5656  88724.8434  95696.7575  98888.2367  -322365.8004  95072.5126 
 21 -459624.0103  95416.8246  96167.4353  96158.9864  95113.0399  86277.0375  98941.9008  87034.4492  99047.0751  93091.0022  88895.6728  95608.0458  99301.8543  -322514.9651  95305.3452 
 21 -460154.8472  96107.6588  96859.4771  96855.8573  95818.2819  87334.8083  99608.4756  87442.4197  99812.1303  93747.5497  89651.9652  96345.3067  99706.8005  -323310.5101  95996.0870 
 21 -460321.9214  95914.5574  96667.8802  96655.0350  95606.5439  87159.3799  99381.2418  87220.5775  99546.2122  93601.5706  89344.8425  96125.6660  99045.5546  -323055.3086  95789.0292 
 21 -460505.3834  95637.5245  96397.1327  96379.1946  95338.8749  86882.3849  99190.8269  87217.1051  99279.7149  93286.5686  89199.1727  95865.3168  98671.2386  -323645.4196  95521.0768 
 21 -459818.2962  95891.8410  96642.1286  96633.7857  95598.9126  86899.0048  99406.1674  87636.0987  99552.3828  93593.3946  89346.5424  95864.9920  99211.9506  -323460.3467  95771.1172 
 21 -459867.7541  96258.2281  97012.9437  97001.0347  95966.3785  87320.2412  99730.2815  87916.2355  99983.3755  93922.4969  89686.9987  96436.5336  99464.7156  -323221.9527  96144.5693 
 21 -460375.0471  96112.3466  96868.0278  96859.1617  95825.3372  87099.6369  99631.7054  87982.5212  99773.3017  93775.1545  89566.8828  96353.0717  99225.4189  -323713.1925  96000.4664 
