 41 -397366.8476  88017.6683  88759.3860  88765.5391  87713.3406  78552.1182  91195.7617  79686.0607  90495.8339  86479.9809  84194.2415  88901.7531  89908.2030  -271023.8025  87891.4423 
 41 -397901.1446  87887.1177  88634.8678  88636.4340  87578.2814  78232.6587  90979.5414  79292.7662  90355.3989  86440.6254  84072.3612  88648.5480  89763.6575  -271550.7853  87749.8961 
 41 -397907.4282  87952.2202  88699.4314  88701.2615  87639.4497  78703.1803  91138.3451  79275.2669  90405.3955  86469.1197  84194.6457  88823.6844  89633.7018  -270641.0289  87826.0972 
 41 -397797.3583  88776.6307  89522.3541  89522.5050  88470.4710  79578.6868  91978.4493  80027.2302  91224.3750  87276.2194  84969.4569  89783.6476  91049.9207  -270416.6145  88643.7324 
 41 -398027.5551  87731.1048  88481.2213  88486.7591  87406.3558  78360.0574  90972.5022  79319.2332  90206.6804  86226.8647  83962.2859  88479.8113  89696.5692  -271133.4100  87609.3107 
 41 -397852.2446  88761.3407  89508.4613  89512.2620  88463.3385  79506.9123  91976.0570  80292.0167  91170.7512  87271.4152  84986.9867  89790.4431  90741.9102  -270664.5375  88628.0193 
 41 -397750.9582  88107.2736  88855.0574  88853.3065  87804.8445  79102.2471  91308.6632  79499.6802  90594.7757  86578.4414  84222.5564  89084.1273  90115.5809  -270273.1695  87966.7148 
 41 -398425.4199  88434.4491  89177.6912  89179.0059  88123.0852  79640.4549  91511.9574  79675.2097  90863.4464  86861.5463  84511.5085  89245.7578  90369.5145  -270228.9913  88295.4490 
 41 -398094.4982  88955.7598  89700.5703  89708.8481  88650.6814  79942.5365  92070.1414  80426.0205  91425.8479  87470.3991  84869.0122  89687.7145  90575.2552  -270639.0979  88833.6280 
 41 -397843.9773  88258.2643  89002.1635  89013.8585  87952.6716  79099.6467  91373.7176  79901.1945  90718.3233  86785.3725  84335.8709  89128.5534  90203.1471  -270299.7756  88115.3725 
 41 -398188.8927  88051.3434  88798.4105  88807.2510  87742.8300  78754.5963  91263.0106  79703.1791  90542.7843  86583.7680  84061.4243  88740.3224  90171.2331  -270643.8671  87914.7387 
 41 -398128.5806  87970.0815  88718.3707  88719.4648  87674.4271  78695.2014  91061.7692  79576.9316  90396.9967  86502.2978  83947.0281  88939.3716  90448.9796  -269924.8116  87839.9207 
 41 -397591.8924  88871.9681  89613.0789  89618.9363  88574.2635  79416.9912  91948.9382  80245.4974  91325.6967  87373.0777  84756.0673  89921.8314  91097.0751  -270087.0935  88733.9414 
 41 -397935.5024  87833.6544  88572.9687  88578.3304  87521.5182  78212.0967  90981.7944  79286.9521  90379.9512  86382.5340  83876.1858  88970.6861  90451.8251  -270173.4569  87695.8978 
 41 -397795.1662  88005.9628  88750.5616  88760.5451  87701.8095  78682.8933  91151.9741  79469.2092  90511.9334  86501.0264  83991.0528  89018.2543  89778.5495  -269927.1120  87862.5205 
 41 -398438.1520  88016.8295  88763.3962  88765.2945  87705.9550  78467.3508  91172.6641  79517.0301  90542.1643  86534.5982  84070.5516  88472.3340  89507.7571  -271008.4409  87873.4429 
 41 -397352.1818  88549.0425  89292.6489  89306.2176  88232.9924  79330.1178  91675.4155  79870.8681  91017.7879  87105.4288  84503.3151  88992.7681  90473.4651  -270251.4525  88420.0979 
 41 -397994.5103  88114.0315  88863.2309  88864.6279  87798.0190  78967.7789  91253.3487  79643.2798  90664.3618  86691.5710  84224.2267  88610.8473  90258.2039  -270280.0296  87979.6593 
 41 -397652.6268  87500.3534  88240.8009  88247.0477  87198.3827  78313.7318  90675.5602  78988.0636  90041.5180  86025.9610  83532.5367  88190.7569  89382.6372  -270477.3332  87355.4062 
 41 -397593.2909  88431.0130  89176.5997  89183.2224  88122.4544  79049.1215  91625.4696  79700.2528  90985.4145  86939.0203  84667.8386  89053.7369  90484.3786  -269631.8949  88283.9708 
 41 -397852.1050  88512.8560  89256.4267  89260.0319  88202.1336  79173.1598  91660.2716  79773.7392  90997.7849  87015.2473  84772.9411  89122.1532  90317.6065  -270332.1020  88372.4623 
 41 -397882.4455  88823.7604  89569.1188  89573.3307  88512.5108  79489.0782  91935.4254  80366.9472  91371.8894  87336.7692  85097.6032  89858.9918  90986.6820  -270212.2064  88685.7371 
