 41 -398618.9546  87578.4319  88327.1127  88316.4538  87252.1665  78480.4038  90775.6121  78714.0993  89833.8736  86178.6978  83711.2079  88451.6839  90487.2524  -272831.9235  87448.7950 
 41 -397515.9790  87841.4563  88591.9122  88589.6407  87508.0672  78725.2968  91047.8679  79021.7118  90150.5177  86453.8569  83906.4086  88753.6312  90692.6310  -271078.2905  87704.7545 
 41 -397754.6453  88142.2761  88894.5368  88887.0839  87815.0529  79199.7391  91328.9467  79415.7036  90463.5015  86763.6803  84138.2218  88856.9389  91343.4485  -271796.5151  88011.3467 
 41 -397697.1766  88052.2034  88798.5078  88793.9634  87724.6717  78691.8922  91201.5449  79322.6071  90391.2229  86675.7497  84080.5334  88798.3966  91190.6802  -271554.9500  87932.8700 
 41 -398382.9718  88131.0721  88887.0833  88878.9298  87812.1965  78838.0764  91323.2325  79685.6657  90426.0846  86710.4461  84054.9876  89044.3647  90759.6136  -272411.6348  87996.5961 
 41 -397683.5552  88944.3174  89698.8722  89688.9835  88607.0745  79736.8857  92193.8019  80390.8064  91288.2688  87557.0821  84962.4089  89652.4058  91790.0782  -271879.7490  88823.9961 
 41 -398231.4681  88513.2011  89258.7066  89258.7495  88181.7666  79231.3602  91756.2538  79643.2013  90852.3270  87108.7560  84519.5382  89415.9971  91223.6992  -272386.2326  88398.5021 
 41 -397881.4148  88212.7570  88961.6853  88953.9583  87881.1152  78950.3628  91461.0039  79095.1094  90505.2138  86829.0093  84253.0687  88999.8081  90866.8450  -272386.6087  88095.2570 
 41 -397518.8093  88001.7544  88752.5112  88749.1862  87669.7563  78791.3977  91234.7766  78987.0444  90260.6583  86630.2537  84023.9125  88668.2480  90744.5965  -271718.0003  87886.3038 
 41 -398513.0969  87869.1547  88617.7819  88614.6662  87531.0226  78519.6265  91086.4371  78573.0566  90183.8998  86482.8381  84119.5928  88439.4295  90612.9791  -273258.5172  87746.2512 
 41 -397410.4916  87956.1889  88705.0167  88702.0077  87622.9765  78886.9476  91183.6421  78827.6573  90234.7411  86532.7715  83975.1189  88487.8663  90930.6622  -271781.3717  87839.6657 
 41 -397188.3226  88347.5424  89100.4664  89099.4936  88015.5822  79040.6774  91545.2885  79284.4630  90654.4804  86962.4877  84323.5443  89088.4242  90786.7185  -272239.3369  88219.8086 
